机审一级标签,策略ID,策略名称,送审原因,POC,日均进审量,日均完审量,日均打标量,打标率,命中原因
领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,宋诗慧,4742.142857142857,4742.0,0.5714285714285714,0.00012050370548894379,双周期日均进审>2000且双周期打标率<3%
国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,杜衡,4255.571428571428,4200.285714285715,68.57142857142857,0.016325420039453097,双周期日均进审>2000且双周期打标率<3%
领导人,10006132401,gov进审-召回,is_govB_media,宋诗慧,2598.714285714286,2597.8571428571427,5.285714285714286,0.0020346439373109706,双周期日均进审>2000且双周期打标率<3%
国家安全,10015622164,【人审】国家安全召回词表,national_security_recall_rewords_review,杜衡,2061.8571428571427,2068.5714285714284,45.142857142857146,0.021823204419889504,双周期日均进审>2000且双周期打标率<3%
