severity_level,severity_priority,reason,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
P2,2,fence_recall,7,48477.0,48322.0,1728.0,6925.285714285715,6903.142857142857,246.85714285714286,0.03576010926700054,4551.571428571428,0.04613693467336683,0.5215153322243496,2373.7142857142862,p2_low_efficiency_growth,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
P2,2,core_protection_gov_user,7,33043.0,33052.0,5.0,4720.428571428572,4721.714285714285,0.7142857142857143,0.0001512767759893501,0.0,0.0,0.0,0.0,p2_single_strategy_low_efficiency,近7天累计进审量>14000且打标率<3%
P2,2,LS_regular_BASE_OCR_words_review,7,30390.0,30018.0,502.0,4341.428571428572,4288.285714285715,71.71428571428571,0.0167232993537211,0.0,0.0,0.0,0.0,p2_single_strategy_low_efficiency,近7天累计进审量>14000且打标率<3%
P2,2,model_llm_gandalf_8class_p2_ls_manual,7,27028.0,26894.0,1310.0,3861.1428571428573,3842.0,187.14285714285714,0.048709749386480254,537.0,0.036057692307692304,6.190210162277202,3324.1428571428573,p2_low_efficiency_growth,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
P2,2,is_govB_media,7,18160.0,18177.0,42.0,2594.285714285714,2596.714285714286,6.0,0.0023106123122627496,0.0,0.0,0.0,0.0,p2_single_strategy_low_efficiency,近7天累计进审量>14000且打标率<3%
P2,2,national_security_recall_rewords_review,7,14538.0,14553.0,307.0,2076.8571428571427,2079.0,43.857142857142854,0.021095306809592523,0.0,0.0,0.0,0.0,p2_single_strategy_low_efficiency,近7天累计进审量>14000且打标率<3%
P2,2,LS_regular_COVER_OCR_words_review,7,14248.0,14069.0,202.0,2035.4285714285713,2009.857142857143,28.857142857142858,0.01435780794654915,0.0,0.0,0.0,0.0,p2_single_strategy_low_efficiency,近7天累计进审量>14000且打标率<3%
