severity_level,severity_priority,reason,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
P0,0,core_protection_gov_user,7,33043.0,33052.0,5.0,4720.428571428572,4721.714285714285,0.7142857142857143,0.0001512767759893501,3981.285714285714,0.0,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
P0,0,LS_regular_BASE_OCR_words_review,7,30390.0,30018.0,502.0,4341.428571428572,4288.285714285715,71.71428571428571,0.0167232993537211,4181.857142857143,0.015386196970735384,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
P0,0,is_govB_media,7,18160.0,18177.0,42.0,2594.285714285714,2596.714285714286,6.0,0.0023106123122627496,2583.714285714286,0.00298804780876494,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
P0,0,LS_regular_COVER_OCR_words_review,7,14248.0,14069.0,202.0,2035.4285714285713,2009.857142857143,28.857142857142858,0.01435780794654915,2254.285714285714,0.010744484709771759,0.0,0.0,p0_four_week_persistent_low_efficiency,近1周日均进审>2000且连续4周打标率<3%
