severity_level,severity_priority,mach_root_label_name,strategy_id,strategy_name,reason,POC,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
P1,1,领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,宋诗慧,7,33195.0,33194.0,4.0,4742.142857142857,4742.0,0.5714285714285714,0.00012050370548894379,4032.5714285714284,7.086167800453515e-05,0.0,0.0,p1_two_week_persistent_low_efficiency,双周期日均进审>2000且双周期打标率<3%
P1,1,国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,杜衡,7,29789.0,29402.0,480.0,4255.571428571428,4200.285714285715,68.57142857142857,0.016325420039453097,4223.571428571428,0.015089349293004645,0.0,0.0,p1_two_week_persistent_low_efficiency,双周期日均进审>2000且双周期打标率<3%
P1,1,领导人,10006132401,gov进审-召回,is_govB_media,宋诗慧,7,18191.0,18185.0,37.0,2598.714285714286,2597.8571428571427,5.285714285714286,0.0020346439373109706,2624.5714285714284,0.002985398686424578,0.0,0.0,p1_two_week_persistent_low_efficiency,双周期日均进审>2000且双周期打标率<3%
P1,1,国家安全,10015622164,【人审】国家安全召回词表,national_security_recall_rewords_review,杜衡,7,14433.0,14480.0,316.0,2061.8571428571427,2068.5714285714284,45.142857142857146,0.021823204419889504,2180.4285714285716,0.016501216225100257,0.0,0.0,p1_two_week_persistent_low_efficiency,双周期日均进审>2000且双周期打标率<3%
