机审一级标签,策略ID,策略名称,送审原因,POC,日均进审量,日均完审量,日均打标量,打标率,命中原因
指令舆情相关,10008330225,【ZL送人审】指令地理条件命中召回-300vv,fence_recall,张发奇,6822.428571428572,6809.0,236.0,0.03466000881186665,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,宋诗慧,4742.142857142857,4742.0,0.5714285714285714,0.00012050370548894379,近7天累计进审量>14000且打标率<3%
国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,杜衡,4255.571428571428,4200.285714285715,68.57142857142857,0.016325420039453097,近7天累计进审量>14000且打标率<3%
领导人,10011265292,【送审】19N2粉丝账号,pentax_fans_19_n2,宋诗慧,2628.0,2625.714285714286,167.71428571428572,0.06387377584330794,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
领导人,10006132401,gov进审-召回,is_govB_media,宋诗慧,2598.714285714286,2597.8571428571427,5.285714285714286,0.0020346439373109706,近7天累计进审量>14000且打标率<3%
国家安全,10015622164,【人审】国家安全召回词表,national_security_recall_rewords_review,杜衡,2061.8571428571427,2068.5714285714284,45.142857142857146,0.021823204419889504,近7天累计进审量>14000且打标率<3%
领导人,10004770670,【送审】19-N2隐晦悼念,lkq_eva_daonian,宋诗慧,2082.8,2044.0,40.4,0.019765166340508806,本期打标率<10%，上期日均进审>0，环比>20%，日均增量>2000
