severity_level,severity_priority,reason,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
notice,3,image_leader_mao,7,460.0,459.0,5.0,65.71428571428571,65.57142857142857,0.7142857142857143,0.010893246187363835,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,cartoon_leader_wjb,7,454.0,453.0,12.0,64.85714285714286,64.71428571428571,1.7142857142857142,0.026490066225165563,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,pentax_fans_hu_wen,7,457.0,451.0,5.0,65.28571428571429,64.42857142857143,0.7142857142857143,0.011086474501108648,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,gov_B_leader_faces,7,441.0,440.0,0.0,63.0,62.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,model_llm_cbygllsnr_hs_pe_disp,6,355.0,356.0,4.0,59.166666666666664,59.333333333333336,0.6666666666666666,0.011235955056179775,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,expert_chunjie_day_audit_release_low_risk_user_positive_audio_content_pass_review,3,171.0,177.0,1.0,57.0,59.0,0.3333333333333333,0.005649717514124294,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,cartoon_leader_mao_B_recall,7,395.0,396.0,11.0,56.42857142857143,56.57142857142857,1.5714285714285714,0.027777777777777776,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,safety_value_yyfqtdldyt_pxdl_v1_auto_review,6,338.0,335.0,31.0,56.333333333333336,55.833333333333336,5.166666666666667,0.09253731343283582,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,weiquan_tiaofu_300vv,7,387.0,387.0,17.0,55.285714285714285,55.285714285714285,2.4285714285714284,0.04392764857881137,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_yingshen1_pingping_juao_0vv,7,386.0,384.0,23.0,55.142857142857146,54.857142857142854,3.2857142857142856,0.059895833333333336,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_eva_216584_political_metaphor_gowest_review,7,396.0,381.0,9.0,56.57142857142857,54.42857142857143,1.2857142857142858,0.023622047244094488,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,toxic_culture_controversial_issue_marriage_pregnet_v8_auto_review,7,380.0,380.0,34.0,54.285714285714285,54.285714285714285,4.857142857142857,0.08947368421052632,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,dazi_vlm_review,7,380.0,379.0,26.0,54.285714285714285,54.142857142857146,3.7142857142857144,0.06860158311345646,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,wulumuqizhonglu_pic_review,7,380.0,376.0,6.0,54.285714285714285,53.714285714285715,0.8571428571428571,0.015957446808510637,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,zl_sheri_gushifumian_300vv,7,370.0,374.0,20.0,52.857142857142854,53.42857142857143,2.857142857142857,0.053475935828877004,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,leader_mao_B_report_recall,7,361.0,363.0,14.0,51.57142857142857,51.857142857142854,2.0,0.03856749311294766,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,lizhi_eva_long_audio_review,7,360.0,362.0,12.0,51.42857142857143,51.714285714285715,1.7142857142857142,0.03314917127071823,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,wy_sid_eva_review,7,354.0,355.0,18.0,50.57142857142857,50.714285714285715,2.5714285714285716,0.05070422535211268,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,leader_mao_mixin_review,7,356.0,352.0,29.0,50.857142857142854,50.285714285714285,4.142857142857143,0.08238636363636363,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_shmgsj_rag,7,355.0,350.0,10.0,50.714285714285715,50.0,1.4285714285714286,0.02857142857142857,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,leader_mao_B_pass_review,5,251.0,249.0,3.0,50.2,49.8,0.6,0.012048192771084338,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,sacked_official_s1s2,7,347.0,347.0,28.0,49.57142857142857,49.57142857142857,4.0,0.08069164265129683,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
